NodeName,index,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,RowDataSensor0,RowDataSensor1,RowDataSensor2,RowDataSensor3,RowDataSensor4,RowDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7
Start,37,458.347,-71.3397,227.095,0.0172496,0.867219,1.27102,488.659,-211.815,346.373,-32.586,0.142559,5.49642,0.21746,-1.3489,-0.0471545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,38,458.405,-71.3446,227.082,0.0173521,0.86715,1.2709,488.662,-211.818,346.37,-34.3665,1.05378,5.18137,0.181737,-1.40635,-0.015928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,39,458.461,-71.3493,227.066,0.017457,0.867088,1.27079,488.665,-211.82,346.366,-36.1819,1.52692,4.9252,0.149855,-1.43984,0.0163207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,40,458.461,-71.3493,227.066,0.017457,0.867088,1.27079,488.665,-211.82,346.366,-36.1819,1.52692,4.9252,0.149855,-1.43984,0.0163207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,41,458.553,-71.3545,227.034,0.0177026,0.866992,1.27057,488.671,-211.825,346.359,-37.8042,0.918023,5.08726,0.160819,-1.47872,-0.0152975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,42,458.611,-71.3618,226.996,0.0179455,0.866947,1.27036,488.677,-211.829,346.352,-35.8453,-0.573603,2.28445,0.244785,-1.43377,-0.043619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,43,458.632,-71.3623,226.977,0.0180542,0.866939,1.27027,488.679,-211.831,346.349,-34.7907,-1.18978,1.53344,0.2519,-1.35719,-0.0609733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,44,458.646,-71.3612,226.959,0.0181464,0.866938,1.27019,488.682,-211.833,346.346,-33.8444,-1.31411,1.14708,0.230197,-1.31859,-0.0710028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,45,458.652,-71.3603,226.94,0.0182169,0.866952,1.27014,488.685,-211.835,346.342,-32.967,-1.12302,0.575407,0.184125,-1.35169,-0.0605703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,46,458.656,-71.3598,226.921,0.0182895,0.86697,1.27008,488.687,-211.837,346.339,-32.7426,-0.479859,0.268071,0.141799,-1.40754,-0.0382337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,47,458.658,-71.3646,226.899,0.0183438,0.866992,1.27003,488.689,-211.839,346.337,-32.9916,0.229389,0.36897,0.100422,-1.44347,-0.023062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,48,458.654,-71.3635,226.878,0.0184061,0.867019,1.26998,488.692,-211.841,346.334,-33.8289,0.400937,0.699052,0.047843,-1.43809,-0.0199746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,49,458.654,-71.3635,226.878,0.0184061,0.867019,1.26998,488.692,-211.841,346.334,-33.8289,0.400937,0.699052,0.047843,-1.43809,-0.0199746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,50,458.618,-71.3687,226.835,0.018541,0.867113,1.26988,488.696,-211.844,346.328,-33.9696,-0.156041,1.15088,0.0171668,-1.47191,-0.00841276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
